dataset,num_blocks,embed_dim,pretrained_source,type,batch_size,update_iters,repeat_idx,data_aug,acc,ece,nll,time_taken
cifar10,6,512,in21k,ibprobit,512,2,7,False,0.8547999858856201,0.0974534451961517,0.6288965344429016,5.743628740310669
cifar10,6,512,in21k,ibprobit,512,2,41,False,0.8533999919891357,0.0962181761860847,0.6279149651527405,5.758052110671997
cifar10,6,512,in21k,ibprobit,512,2,63,False,0.8547999858856201,0.0973948910832405,0.6271949410438538,5.708879709243774
cifar10,6,512,in21k,ibprobit,512,2,80,False,0.8531000018119812,0.0957506075501442,0.6283461451530457,5.608062267303467
cifar10,6,512,in21k,ibprobit,512,2,62,False,0.8549000024795532,0.0960221514105796,0.6265559792518616,5.7038209438323975
cifar10,6,512,in21k,ibprobit,512,2,6,False,0.854200005531311,0.0963665023446083,0.6293918490409851,5.666327476501465
cifar10,6,512,in21k,ibprobit,512,2,21,False,0.8565999865531921,0.0982580259442329,0.6264362931251526,5.679798603057861
cifar10,6,512,in21k,ibprobit,512,4,88,False,0.8521999716758728,0.0443479977548122,0.5525705814361572,5.732060432434082
cifar10,6,512,in21k,ibprobit,512,4,73,False,0.854200005531311,0.047573298215866,0.5497738122940063,5.604968309402466
cifar10,6,512,in21k,ibprobit,512,4,90,False,0.8526999950408936,0.04427245631814,0.5516403317451477,5.705618381500244
cifar10,6,512,in21k,ibprobit,512,4,93,False,0.8506999611854553,0.0428939312696456,0.5513888597488403,5.558206081390381
cifar10,6,512,in21k,ibprobit,512,4,87,False,0.8513000011444092,0.0433736518025398,0.5521009564399719,5.709227800369263
cifar10,6,512,in21k,ibprobit,512,4,13,False,0.851099967956543,0.0422545187175273,0.5523490309715271,5.773110866546631
cifar10,6,512,in21k,ibprobit,512,4,0,False,0.8531999588012695,0.0473661832511425,0.5556526184082031,5.775877237319946
cifar10,6,512,in21k,ibprobit,512,4,53,False,0.8543999791145325,0.0471258424222469,0.5522769689559937,5.600297451019287
cifar10,6,512,in21k,ibprobit,512,4,18,False,0.8540999889373779,0.0457787364721298,0.5497756600379944,5.709599494934082
cifar10,6,512,in21k,ibprobit,512,4,20,False,0.8536999821662903,0.0480350367724895,0.5536596179008484,5.626622438430786
cifar10,6,512,in21k,ibprobit,512,4,16,False,0.8521999716758728,0.0452839955687522,0.55196213722229,5.658072471618652
cifar10,6,512,in21k,ibprobit,512,4,76,False,0.8509999513626099,0.0460746325552463,0.5525915622711182,5.568696737289429
cifar10,6,512,in21k,ibprobit,512,4,25,False,0.8501999974250793,0.0433620102703571,0.5546297430992126,5.650059700012207
cifar10,6,512,in21k,ibprobit,512,4,32,False,0.8542999625205994,0.0475862622261047,0.5514912605285645,5.635515213012695
cifar10,6,512,in21k,ibprobit,512,4,42,False,0.8499999642372131,0.0423937737941741,0.5530123114585876,5.528164863586426
cifar10,6,512,in21k,ibprobit,512,4,82,False,0.8529999852180481,0.0467789880931377,0.5554671883583069,5.497062206268311
cifar10,6,512,in21k,ibprobit,512,4,92,False,0.8529999852180481,0.0468420423567295,0.5499109029769897,5.592186450958252
cifar10,6,512,in21k,ibprobit,512,4,39,False,0.8517999649047852,0.0454567559063434,0.5519106388092041,5.613483667373657
cifar10,6,512,in21k,ibprobit,512,4,7,False,0.8526999950408936,0.0465102568268775,0.5530349612236023,5.644860506057739
cifar10,6,512,in21k,ibprobit,512,4,41,False,0.850600004196167,0.0426934882998466,0.5544193387031555,5.756769180297852
cifar10,6,512,in21k,ibprobit,512,4,63,False,0.8507999777793884,0.0430051945149898,0.5522034764289856,5.676836490631104
cifar10,6,512,in21k,ibprobit,512,4,80,False,0.8497999906539917,0.0453724414110183,0.5550629496574402,5.7202770709991455
cifar10,6,512,in21k,ibprobit,512,4,62,False,0.8533999919891357,0.0474369078874588,0.5488802790641785,5.732805967330933
cifar10,6,512,in21k,ibprobit,512,4,6,False,0.8500999808311462,0.0435231328010559,0.551593542098999,5.61368465423584
cifar10,6,512,in21k,ibprobit,512,4,21,False,0.8508999943733215,0.0435184203088283,0.5517283082008362,5.777738094329834
cifar10,6,512,in21k,ibprobit,512,8,88,False,0.8481999635696411,0.013068301603198,0.5188049674034119,5.614503145217896
cifar10,6,512,in21k,ibprobit,512,8,73,False,0.8438000082969666,0.010156063362956,0.5237275958061218,5.550281047821045
cifar10,6,512,in21k,ibprobit,512,8,90,False,0.8447999954223633,0.0113936197012662,0.5241511464118958,5.779747009277344
cifar10,6,512,in21k,ibprobit,512,8,93,False,0.8467999696731567,0.0134640019387006,0.52219557762146,5.641707420349121
cifar10,6,512,in21k,ibprobit,512,8,87,False,0.8460999727249146,0.0125804785639047,0.5217334628105164,5.578601360321045
cifar10,6,512,in21k,ibprobit,512,8,13,False,0.8477999567985535,0.0149188563227653,0.5185807943344116,5.574573278427124
cifar10,6,512,in21k,ibprobit,512,8,0,False,0.8438999652862549,0.0127246230840682,0.5310593843460083,5.681030750274658
cifar10,6,512,in21k,ibprobit,512,8,53,False,0.8463999629020691,0.013047831133008,0.5204399824142456,5.489508628845215
cifar10,6,512,in21k,ibprobit,512,8,18,False,0.8471999764442444,0.0140761295333504,0.5221658945083618,5.62695574760437
cifar10,6,512,in21k,ibprobit,512,8,20,False,0.8461999893188477,0.0113197118043899,0.5169543027877808,5.833252429962158
cifar10,6,512,in21k,ibprobit,512,8,16,False,0.8448999524116516,0.0139364674687385,0.5230064988136292,5.70733380317688
